femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,hash,lastRefresh,id,year
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,97,99097,Osceola (County),17103,2dece42a0c58862a4c05eec4f8f4d95b,2020-10-05T14:22:33.238Z,5f7b2c2931a8c6681cff82dc,2017
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,99,99099,Palm Beach (County),17103,6348a13999bcaec4e7a05ec81f86761a,2020-10-05T14:22:33.239Z,5f7b2c2931a8c6681cff82e4,2017
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,101,99101,Pasco (County),17103,136b7d2b01db816d7d590ada0c930708,2020-10-05T14:22:33.240Z,5f7b2c2931a8c6681cff82e9,2017
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,103,99103,Pinellas (County),17103,d5ae8a1c9ce267bb9ecabf2171bc733b,2020-10-05T14:22:33.241Z,5f7b2c2931a8c6681cff82ee,2017
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,105,99105,Polk (County),17103,956529e7b639c055945c8e9a5c798549,2020-10-05T14:22:33.242Z,5f7b2c2931a8c6681cff82f5,2017
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,107,99107,Putnam (County),17103,54cbcaf6f9d4689488c901da62d455b9,2020-10-05T14:22:33.243Z,5f7b2c2931a8c6681cff82f8,2017
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,109,99109,St. Johns (County),17103,3dbc2d292ce01ef4161011b3721d66e8,2020-10-05T14:22:33.244Z,5f7b2c2931a8c6681cff82fc,2017
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,111,99111,St. Lucie (County),17103,c862997082d4d605ee52721f332973c7,2020-10-05T14:22:33.244Z,5f7b2c2931a8c6681cff82ff,2017
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,115,99115,Sarasota (County),17103,406fc44c814b99833147680b276a786c,2020-10-05T14:22:33.245Z,5f7b2c2931a8c6681cff8302,2017
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,119,99119,Sumter (County),17103,ec0df28850b526951b340e19b35dab1b,2020-10-05T14:22:33.246Z,5f7b2c2931a8c6681cff8306,2017
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,117,99117,Seminole (County),17103,1b5284177c14ba47e31a299be7e8d37e,2020-10-05T14:22:33.246Z,5f7b2c2931a8c6681cff8308,2017
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,121,99121,Suwannee (County),17103,9701d2ae5134bda6778190480a45b5d7,2020-10-05T14:22:33.247Z,5f7b2c2931a8c6681cff830e,2017
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,125,99125,Union (County),17103,da8808c47ed089a1c178fc86e3a75b77,2020-10-05T14:22:33.248Z,5f7b2c2931a8c6681cff8315,2017
DR-4337-FL,4337,FL,DR,2017-09-10T18:45:00.000Z,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T13:00:00.000Z,2017-10-19T03:59:00.000Z,,12,127,99127,Volusia (County),17103,903aa8348d509e9dfb373ae3a5ddbd8d,2020-10-05T14:22:33.249Z,5f7b2c2931a8c6681cff8317,2017
